CONTENT-SHARED-NAV-PIACI-TRENDEK	Fő navigáció — Piaci trendek	Piaci trendek	Minden oldal — fejléc navigáció	Statikus szöveg, a kezdőoldalra (index.html#trends) mutató nav-link felirata.
CONTENT-BEREK-AREA-SELECT-OPTIONS	Területválasztó — legördülő opciói	IT, Pénzügy és számvitel, Sales, Marketing, HR, Retail, Office Support, Business Service Center (BSC), Logisztika Szállítás, Gyártás Termelés Mérnökség, Építőipar Ingatlan, Pharma Life Sciences	Bérek — szűrő legördülő	Adatvezérelt: data/build-salary-data.py CANONICAL_AREAS listája (14 elem, ebből 'IT Contracting' jelenleg nulla sorral, nem jelenik meg a listában adat hiányában; 'SAP' saját oldalt kap, itt nem szerepel). Típus: 12 elemű felsorolás.
CONTENT-BEREK-SAP-CALLOUT	SAP kiemelő doboz — szöveg	A SAP terület saját, részletesebb piaci trendekkel és termékbemutatóval bővített oldalon szerepel, ezért itt nem jelenik meg.	Bérek — a területválasztó mellett	Statikus szöveg, a sap/index.html oldalra mutató linkkel.
CONTENT-SAP-HERO-EYEBROW	SAP hero — felirat	IDBC Salary Guide	SAP — hero	Statikus rövid szöveg.
CONTENT-SAP-HERO-TITLE	SAP hero — cím (H1)	SAP piaci trendek	SAP — hero	Statikus főcím.
CONTENT-SAP-HERO-LEAD	SAP hero — bevezető szöveg	Áttekintés a SAP szakértői piac aktuális trendjeiről, szolgáltatási területeiről és jellemző bérsávjairól.	SAP — hero	Statikus bekezdés.
CONTENT-SAP-TECH-EYEBROW	Technológiai trendek — felirat	Technológiai trendek	SAP — technológiai trendek szekció	Statikus rövid szöveg.
CONTENT-SAP-TECH-TITLE	Technológiai trendek — cím (H2)	AI, Cloud és Clean Core: az új SAP-stratégia üzleti alapkövei	SAP — technológiai trendek szekció	Statikus alcím.
CONTENT-SAP-TECH-INTRO	Technológiai trendek — bevezető bekezdés	A magyar SAP-piacot 2026-ban az AI-képességek üzleti integrációja, a cloud-first architektúrák térnyerése és a vállalati rendszerek hosszú távú modernizációja határozza meg — a fókuszban már nem önmagában az ERP-rendszerek megújítása áll, hanem egy skálázható, AI-re és adatvezérelt döntéshozatalra képes működési modell. Ebben kulcsszerepet játszik a clean core szemlélet és a SAP Business Technology Platform (BTP), miközben az S/4HANA-transzformációk egyre inkább a SAP Joule és a modern cloud szolgáltatások bevezetésével kapcsolódnak össze, stratégiai üzleti innovációs projektekké alakulva.	SAP — technológiai trendek szekció	Statikus, szabadon szerkeszthető bekezdés.
CONTENT-SAP-TECH-TILE-1-TITLE	Technológiai trend csempe 1 — cím	SAP Logistics Management (LGM): a logisztika új generációja	SAP — technológiai trendek csemperács, 1. csempe	Statikus csempecím.
CONTENT-SAP-TECH-TILE-1-BODY	Technológiai trend csempe 1 — szöveg	A SAP új, cloud-native Logistics Management (LGM) megoldása a raktározási és szállítási folyamatokat egységes platformon kezeli, elsősorban a több telephelyes, regionális logisztikai hálózatban működő vállalatoknak kínálva új lehetőséget. Megjelenése jól mutatja: a logisztika digitalizációja ma már versenyképességi tényező, nem csupán operációs kérdés.	SAP — technológiai trendek csemperács, 1. csempe	Statikus, szabadon szerkeszthető bekezdés.
CONTENT-SAP-TECH-TILE-2-TITLE	Technológiai trend csempe 2 — cím	SAP SuccessFactors és SmartRecruiters: a HR digitalizáció következő szintje	SAP — technológiai trendek csemperács, 2. csempe	Statikus csempecím.
CONTENT-SAP-TECH-TILE-2-BODY	Technológiai trend csempe 2 — szöveg	A HR-folyamatok modernizációja felgyorsult: egyre több vállalat használja a SAP SuccessFactorst a teljes munkavállalói életciklus kezelésére, míg a SmartRecruiters integrációk a toborzás digitalizálásában és a jelöltélmény javításában kapnak kulcsszerepet. Magyarországon a HR-rendszerek fejlesztése ma már szorosan kapcsolódik a vállalatok átfogó digitális transzformációs stratégiájához.	SAP — technológiai trendek csemperács, 2. csempe	Statikus, szabadon szerkeszthető bekezdés.
CONTENT-SAP-TECH-TILE-3-TITLE	Technológiai trend csempe 3 — cím	S/4HANA: a felkészülés éve a vállalati transzformációra	SAP — technológiai trendek csemperács, 3. csempe	Statikus csempecím.
CONTENT-SAP-TECH-TILE-3-BODY	Technológiai trend csempe 3 — szöveg	2026-ban a SAP ökoszisztéma legfontosabb trendjeit az S/4HANA-átállások felgyorsulása, a cloud-native logisztikai megoldások térnyerése és a HR- és üzleti folyamatok intelligens automatizációja formálja. Tartós versenyelőnyt azok a vállalatok szerezhetnek, amelyek az átállást üzleti innovációs lehetőségként kezelik, nem kötelező technológiai projektként.	SAP — technológiai trendek csemperács, 3. csempe	Statikus, szabadon szerkeszthető bekezdés.
CONTENT-SAP-RECRUIT-EYEBROW	Toborzási trendek — felirat	Toborzási trendek SAP területen	SAP — toborzási trendek szekció	Statikus rövid szöveg.
CONTENT-SAP-RECRUIT-P1	Toborzási trendek — 1. bekezdés (mindig látszik)	Az IT-munkaerőpiac stabilizálódása mellett az SAP továbbra is növekedő és egyre magasabb értéket képviselő terület. A keresletet elsősorban az S/4HANA-transzformációk, a cloudmigráció és a vállalati rendszerek modernizációja hajtják, miközben az SAP- és architect-szerepkörök továbbra is hiánypozícióknak számítanak.	SAP — toborzási trendek szekció	Statikus bekezdés.
CONTENT-SAP-RECRUIT-P2	Toborzási trendek — 2. bekezdés (Tovább olvasom mögött)	A recruitmentben a senior SAP Consultant, SAP Developer/ABAP Developer, S/4HANA szakértő és SAP Architect profilok a legkeresettebbek. Ezt aktuális álláskínálatunk is alátámasztja, amelyben jelenleg számos ABAP- és S/4HANA-fejlesztői lehetőség is szerepel. A piac közben fokozatosan elmozdul a klasszikus SAP-szerepköröktől a több területet összekapcsoló, hibrid kompetenciák felé: az S/4HANA-, cloud- és integrációs tudás mellett egyre fontosabbá válik az AI ismerete és gyakorlati alkalmazása az SAP-környezetben.	SAP — toborzási trendek szekció, összecsukható rész	Statikus bekezdés, alapból elrejtve, a „Tovább olvasom” gombra jelenik meg.
CONTENT-SAP-RECRUIT-P3	Toborzási trendek — 3. bekezdés (Tovább olvasom mögött)	A következő időszakban az SAP BTP, az AI-alapú automatizáció és az intelligens vállalati megoldások térnyerése tovább gyorsíthatja ezt az átalakulást. A jövő keresett SAP-szakembere ezért nem csupán egy-egy modul vagy technológia specialistája lesz, hanem olyan hibrid szakember, aki az SAP- és üzleti tudást modern technológiákkal, különösen AI-kompetenciákkal képes ötvözni.	SAP — toborzási trendek szekció, összecsukható rész	Statikus bekezdés, alapból elrejtve, a „Tovább olvasom” gombra jelenik meg.
CONTENT-SAP-RECRUIT-TOGGLE	Toborzási trendek — gombfelirat	Tovább olvasom / Kevesebb	SAP — toborzási trendek szekció	Statikus, két állapotú gombfelirat (JS váltja).
CONTENT-SAP-CONTACT-NAME	Kontakt csempe — név (2×)	Baranyai Zsolt	SAP — technológiai és toborzási trendek szekció, mindkét kontakt csempén; terulet/index.html is ugyanezt használja	Statikus szöveg, jelenleg mindkét helyen (és a területi oldal sablonján is) ugyanaz a kontaktszemély.
CONTENT-SAP-CONTACT-TITLE	Kontakt csempe — beosztás (2×)	Head of SAP and ECM BU, Partner	SAP — mindkét kontakt csempe	Statikus szöveg.
CONTENT-SAP-CONTACT-EMAIL	Kontakt csempe — e-mail	contact@idbc.hu	SAP — mindkét kontakt csempe, mailto: link	Statikus kontakt adat, tárgy sorral előtöltve.
CONTENT-SAP-PRODUCTS-EYEBROW	SAP termékek — felirat	SAP termékek és szolgáltatások	SAP — termékkatalógus szekció	Statikus rövid szöveg.
CONTENT-SAP-PRODUCTS-TITLE	SAP termékek — cím (H2)	SAP megoldások bemutatása	SAP — termékkatalógus szekció	Statikus alcím.
CONTENT-SAP-PRODUCTS-LEAD	SAP termékek — bevezető szöveg	A blokkok a legfontosabb SAP szolgáltatási irányokat foglalják össze: transzformáció, funkcionális tanácsadás, specializált megoldások, Cloud ERP és egyedi partneri fejlesztések.	SAP — termékkatalógus szekció	Statikus bekezdés.
SAPPROD-CAT1-S-4-HANA-TRANSZFORMACIOS-SZOLGALTATASOK	SAP termékkatalógus — 1. kategória neve	S/4 HANA transzformációs szolgáltatások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[].category. Típus: rövid kategórianév.
SAPPROD-CAT1-S-4-HANA-TRANSZFORMACIOS-SZOLGALTATASOK-ITEM1	SAP termékkatalógus — 1. kategória, 1. tétel	S/4 HANA Rise bevezetések	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[0].items[0]. A(z) „S/4 HANA transzformációs szolgáltatások” kategória egy felsorolás-eleme.
SAPPROD-CAT1-S-4-HANA-TRANSZFORMACIOS-SZOLGALTATASOK-ITEM2	SAP termékkatalógus — 1. kategória, 2. tétel	SAP ECC – SAP S/4 átállás és konverzió	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[0].items[1]. A(z) „S/4 HANA transzformációs szolgáltatások” kategória egy felsorolás-eleme.
SAPPROD-CAT1-S-4-HANA-TRANSZFORMACIOS-SZOLGALTATASOK-ITEM3	SAP termékkatalógus — 1. kategória, 3. tétel	Brownfield és bluefield megközelítések	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[0].items[2]. A(z) „S/4 HANA transzformációs szolgáltatások” kategória egy felsorolás-eleme.
SAPPROD-CAT1-S-4-HANA-TRANSZFORMACIOS-SZOLGALTATASOK-ITEM4	SAP termékkatalógus — 1. kategória, 4. tétel	SAP Carve-out	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[0].items[3]. A(z) „S/4 HANA transzformációs szolgáltatások” kategória egy felsorolás-eleme.
SAPPROD-CAT1-S-4-HANA-TRANSZFORMACIOS-SZOLGALTATASOK-ITEM5	SAP termékkatalógus — 1. kategória, 5. tétel	Cloud és hybrid cloud megoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[0].items[4]. A(z) „S/4 HANA transzformációs szolgáltatások” kategória egy felsorolás-eleme.
SAPPROD-CAT2-TRADICIONALIS-SAP-FUNKCIONALIS-TANACSADA	SAP termékkatalógus — 2. kategória neve	Tradicionális SAP funkcionális tanácsadás és fejlesztés	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[].category. Típus: rövid kategórianév.
SAPPROD-CAT2-TRADICIONALIS-SAP-FUNKCIONALIS-TANACSADA-ITEM1	SAP termékkatalógus — 2. kategória, 1. tétel	Modul szakértői tudás (pénzügy, logisztika, értékesítés, szerviz, gyártás, karbantartás)	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[1].items[0]. A(z) „Tradicionális SAP funkcionális tanácsadás és fejlesztés” kategória egy felsorolás-eleme.
SAPPROD-CAT2-TRADICIONALIS-SAP-FUNKCIONALIS-TANACSADA-ITEM2	SAP termékkatalógus — 2. kategória, 2. tétel	End-to-End folyamati megoldások (Order to Cash, Purchase to Pay)	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[1].items[1]. A(z) „Tradicionális SAP funkcionális tanácsadás és fejlesztés” kategória egy felsorolás-eleme.
SAPPROD-CAT2-TRADICIONALIS-SAP-FUNKCIONALIS-TANACSADA-ITEM3	SAP termékkatalógus — 2. kategória, 3. tétel	SAP SCM	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[1].items[2]. A(z) „Tradicionális SAP funkcionális tanácsadás és fejlesztés” kategória egy felsorolás-eleme.
SAPPROD-CAT2-TRADICIONALIS-SAP-FUNKCIONALIS-TANACSADA-ITEM4	SAP termékkatalógus — 2. kategória, 4. tétel	SAP eWM	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[1].items[3]. A(z) „Tradicionális SAP funkcionális tanácsadás és fejlesztés” kategória egy felsorolás-eleme.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK	SAP termékkatalógus — 3. kategória neve	Specializált SAP megoldásaink	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[].category. Típus: rövid kategórianév.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK-ITEM1	SAP termékkatalógus — 3. kategória, 1. tétel	SAP SuccessFactors, HCM és SmartRecruiters	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[2].items[0]. A(z) „Specializált SAP megoldásaink” kategória egy felsorolás-eleme.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK-ITEM2	SAP termékkatalógus — 3. kategória, 2. tétel	SAP Signavio	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[2].items[1]. A(z) „Specializált SAP megoldásaink” kategória egy felsorolás-eleme.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK-ITEM3	SAP termékkatalógus — 3. kategória, 3. tétel	SAP Business Technology Platform (BTP)	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[2].items[2]. A(z) „Specializált SAP megoldásaink” kategória egy felsorolás-eleme.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK-ITEM4	SAP termékkatalógus — 3. kategória, 4. tétel	SAP Invoice Management	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[2].items[3]. A(z) „Specializált SAP megoldásaink” kategória egy felsorolás-eleme.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK-ITEM5	SAP termékkatalógus — 3. kategória, 5. tétel	xECM for SAP és SAP DMS megoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[2].items[4]. A(z) „Specializált SAP megoldásaink” kategória egy felsorolás-eleme.
SAPPROD-CAT3-SPECIALIZALT-SAP-MEGOLDASAINK-ITEM6	SAP termékkatalógus — 3. kategória, 6. tétel	SAP Archiválás	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[2].items[5]. A(z) „Specializált SAP megoldásaink” kategória egy felsorolás-eleme.
SAPPROD-CAT4-SAP-CLOUD-ERP-PUBLIC-EDITION	SAP termékkatalógus — 4. kategória neve	SAP Cloud ERP, Public Edition	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[].category. Típus: rövid kategórianév.
SAPPROD-CAT4-SAP-CLOUD-ERP-PUBLIC-EDITION-ITEM1	SAP termékkatalógus — 4. kategória, 1. tétel	Cloud ERP bevezetések és template alapú rolloutok	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[3].items[0]. A(z) „SAP Cloud ERP, Public Edition” kategória egy felsorolás-eleme.
SAPPROD-CAT4-SAP-CLOUD-ERP-PUBLIC-EDITION-ITEM2	SAP termékkatalógus — 4. kategória, 2. tétel	Standardizált folyamatok és gyorsabb implementáció	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[3].items[1]. A(z) „SAP Cloud ERP, Public Edition” kategória egy felsorolás-eleme.
SAPPROD-CAT4-SAP-CLOUD-ERP-PUBLIC-EDITION-ITEM3	SAP termékkatalógus — 4. kategória, 3. tétel	Integrációs és adat-migrációs támogatás	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[3].items[2]. A(z) „SAP Cloud ERP, Public Edition” kategória egy felsorolás-eleme.
SAPPROD-CAT4-SAP-CLOUD-ERP-PUBLIC-EDITION-ITEM4	SAP termékkatalógus — 4. kategória, 4. tétel	Változáskezelés és üzleti oldali felkészítés	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[3].items[3]. A(z) „SAP Cloud ERP, Public Edition” kategória egy felsorolás-eleme.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB	SAP termékkatalógus — 5. kategória neve	Egyedi SAP megoldások partnereinkre szabva	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[].category. Típus: rövid kategórianév.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB-ITEM1	SAP termékkatalógus — 5. kategória, 1. tétel	SAP VIM, szállítói számlakezelés, pénzügyi megoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[4].items[0]. A(z) „Egyedi SAP megoldások partnereinkre szabva” kategória egy felsorolás-eleme.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB-ITEM2	SAP termékkatalógus — 5. kategória, 2. tétel	SAP beszerzési, logisztikai és gyártási megoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[4].items[1]. A(z) „Egyedi SAP megoldások partnereinkre szabva” kategória egy felsorolás-eleme.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB-ITEM3	SAP termékkatalógus — 5. kategória, 3. tétel	SAP karbantartási megoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[4].items[2]. A(z) „Egyedi SAP megoldások partnereinkre szabva” kategória egy felsorolás-eleme.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB-ITEM4	SAP termékkatalógus — 5. kategória, 4. tétel	SAP mobilmegoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[4].items[3]. A(z) „Egyedi SAP megoldások partnereinkre szabva” kategória egy felsorolás-eleme.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB-ITEM5	SAP termékkatalógus — 5. kategória, 5. tétel	SAP Adat- és dokumentumarchiválási megoldások	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[4].items[4]. A(z) „Egyedi SAP megoldások partnereinkre szabva” kategória egy felsorolás-eleme.
SAPPROD-CAT5-EGYEDI-SAP-MEGOLDASOK-PARTNEREINKRE-SZAB-ITEM6	SAP termékkatalógus — 5. kategória, 6. tétel	Egyedi rendszerintegrációs megoldások – 3rd Party integráció	SAP — SAP megoldások bemutatása, csemperács	Adatvezérelt: guide-data.json sapProducts[4].items[5]. A(z) „Egyedi SAP megoldások partnereinkre szabva” kategória egy felsorolás-eleme.
CONTENT-EXPERTPOOL-HERO-EYEBROW	Expert Pool hero — felirat	IDBC Salary Guide	Expert Pool — hero	Statikus rövid szöveg.
CONTENT-EXPERTPOOL-HERO-TITLE	Expert Pool hero — cím (H1)	IDBC Expert Community	Expert Pool — hero	Statikus főcím.
CONTENT-EXPERTPOOL-HERO-LEAD	Expert Pool hero — bevezető szöveg	Egy közösség, ahol a szakértelem és a megfelelő lehetőség találkozik.	Expert Pool — hero	Statikus bekezdés.
